customer_id,first_name,last_name,phone,email,city,state
1,Debra,Burks,,debra.burks@yahoo.com,Orchard Park,NY
4,Daryl,Spence,,daryl.spence@aol.com,Uniondale,NY
6,Lyndsey,Bean,,lyndsey.bean@hotmail.com,Fairport,NY
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,Buffalo,NY
8,Jacquline,Duncan,,jacquline.duncan@yahoo.com,Jackson Heights,NY
9,Genoveva,Baldwin,,genoveva.baldwin@msn.com,Port Washington,NY
10,Pamelia,Newman,,pamelia.newman@gmail.com,Monroe,NY
11,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,Monsey,NY
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,Hempstead,NY
15,Linnie,Branch,,linnie.branch@gmail.com,Plattsburgh,NY
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,New York,NY
17,Caren,Stephens,,caren.stephens@msn.com,Scarsdale,NY
18,Georgetta,Hardin,,georgetta.hardin@aol.com,Canandaigua,NY
19,Lizzette,Stein,,lizzette.stein@yahoo.com,Orchard Park,NY
22,Adelle,Larsen,,adelle.larsen@gmail.com,East Northport,NY
23,Kaylee,English,,kaylee.english@msn.com,Hollis,NY
25,Regenia,Vaughan,,regenia.vaughan@gmail.com,Mahopac,NY
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,Long Beach,NY
27,Santos,Valencia,,santos.valencia@yahoo.com,Sunnyside,NY
28,Jeanice,Frost,,jeanice.frost@hotmail.com,Ossining,NY
29,Syreeta,Hendricks,,syreeta.hendricks@msn.com,Mahopac,NY
34,Brittney,Woodward,,brittney.woodward@aol.com,East Northport,NY
35,Guillermina,Noble,,guillermina.noble@msn.com,Baldwinsville,NY
36,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,Liverpool,NY
37,Melia,Brady,,melia.brady@gmail.com,Maspeth,NY
38,Zelma,Browning,,zelma.browning@aol.com,Astoria,NY
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,Lancaster,NY
41,Kathie,Freeman,,kathie.freeman@msn.com,Queensbury,NY
42,Tangela,Quinn,,tangela.quinn@aol.com,Richmond Hill,NY
44,Onita,Johns,,onita.johns@msn.com,Elmont,NY
45,Bennett,Armstrong,,bennett.armstrong@aol.com,Bethpage,NY
48,Cesar,Jackson,,cesar.jackson@gmail.com,Liverpool,NY
49,Caroll,Hays,,caroll.hays@yahoo.com,Fairport,NY
51,Gertrud,Rhodes,,gertrud.rhodes@aol.com,Merrick,NY
52,Tu,Ramirez,,tu.ramirez@hotmail.com,East Elmhurst,NY
54,Fran,Yang,,fran.yang@hotmail.com,Utica,NY
55,Diana,Guerra,,diana.guerra@hotmail.com,Merrick,NY
57,Pamala,Henry,,pamala.henry@aol.com,Bronx,NY
58,Damien,Dorsey,,damien.dorsey@yahoo.com,Central Islip,NY
59,Latasha,Stanley,,latasha.stanley@gmail.com,Rockville Centre,NY
62,Alica,Hunter,,alica.hunter@hotmail.com,East Elmhurst,NY
63,Tenisha,Lyons,,tenisha.lyons@aol.com,Amityville,NY
65,Kanesha,Vega,,kanesha.vega@gmail.com,Rome,NY
70,Tomasa,Carson,,tomasa.carson@aol.com,East Elmhurst,NY
71,Takako,Casey,,takako.casey@aol.com,Bronx,NY
73,Melanie,Hayes,,melanie.hayes@msn.com,Liverpool,NY
74,Georgeann,Waller,,georgeann.waller@yahoo.com,North Tonawanda,NY
75,Abby,Gamble,,abby.gamble@aol.com,Amityville,NY
76,Parker,Prince,,parker.prince@hotmail.com,Port Jefferson Station,NY
79,Ashanti,Parks,,ashanti.parks@hotmail.com,Baldwin,NY
80,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,Buffalo,NY
83,Tiesha,Daniel,,tiesha.daniel@yahoo.com,Scarsdale,NY
84,Armand,Whitehead,,armand.whitehead@hotmail.com,Lindenhurst,NY
85,Teofila,Fischer,,teofila.fischer@aol.com,Huntington Station,NY
86,Lissa,Vargas,,lissa.vargas@yahoo.com,Oswego,NY
88,Titus,Bullock,,titus.bullock@gmail.com,Hollis,NY
90,Marjorie,Logan,,marjorie.logan@msn.com,Franklin Square,NY
92,Tena,Cruz,,tena.cruz@yahoo.com,Farmingdale,NY
93,Corrina,Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,Troy,NY
94,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,Baldwinsville,NY
95,Letitia,Franco,,letitia.franco@aol.com,Saratoga Springs,NY
96,Floretta,Higgins,,floretta.higgins@hotmail.com,Bayside,NY
98,Violet,Valenzuela,,violet.valenzuela@msn.com,Plattsburgh,NY
99,Carie,Kidd,,carie.kidd@yahoo.com,Monroe,NY
100,Kellie,Franco,,kellie.franco@yahoo.com,Commack,NY
101,Nichelle,Howell,,nichelle.howell@aol.com,Scarsdale,NY
102,Marisol,Goodman,,marisol.goodman@gmail.com,Canandaigua,NY
103,Sylvie,Wilkerson,,sylvie.wilkerson@yahoo.com,Syosset,NY
105,Marget,Hodge,,marget.hodge@msn.com,Woodhaven,NY
